"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1820661168358531542","Tue Aug 06 17:18:50 +0000 2024","0","@vanc1Bozz @jokowi Memangnya didengerin?...","1820872172564574440","","vanc1Bozz","in","","0","0","0","https://x.com/MagnaSatria/status/1820872172564574440","1605291193935400961","MagnaSatria"
"1820530910665781635","Tue Aug 06 17:17:45 +0000 2024","0","@sutanmangara Kebijakan Jokowi akan picu seks bebas dan merusak moral pelajar dan remaja !","1820871898261287326","","sutanmangara","in","Jakarta Timur, DKI Jakarta","0","0","0","https://x.com/MgmPtmgm/status/1820871898261287326","793427822949769216","MgmPtmgm"
"1820761272495100221","Tue Aug 06 17:16:54 +0000 2024","0","@griselruiz88 @prabowo @jokowi @gibran_tweet @NatRothschild1 @NenkMonica @ZAEffendy @AndiSinulingga Inilah bukti keahlian diplomasi Prabowo.","1820871685735903302","","griselruiz88","in","","0","0","0","https://x.com/daffaalfarid4/status/1820871685735903302","3146996014","daffaalfarid4"
"1820773646211920248","Tue Aug 06 17:16:29 +0000 2024","0","@gorunbiraz3 @prabowo @jokowi @gibran_tweet @NatRothschild1 @pamungklr @PUTRI_41708 @NyaiiBubu Salut pak Prabowo membawa RI ke tingkat yang lebih tinggi.","1820871581620695430","","gorunbiraz3","in","","0","0","0","https://x.com/daffaalfarid4/status/1820871581620695430","3146996014","daffaalfarid4"
"1349698273095794690","Tue Aug 06 17:15:48 +0000 2024","0","@raffi_nagita17 @jokowi mantap","1820871406114218152","","raffi_nagita17","in","","0","0","0","https://x.com/arya_gifarii31/status/1820871406114218152","1613075219270500353","arya_gifarii31"
"1820766760989241526","Tue Aug 06 17:15:47 +0000 2024","0","@GirlBieberJ @prabowo @jokowi @gibran_tweet @NatRothschild1 @agathadew_ @kamandhakas @cimotyy Hubungan erat dengan Rothschild memperkuat posisi RI di dunia.","1820871405040497095","","GirlBieberJ","in","","0","0","0","https://x.com/daffaalfarid4/status/1820871405040497095","3146996014","daffaalfarid4"
"1820760679089123826","Tue Aug 06 17:15:38 +0000 2024","0","@griselruiz88 @prabowo @jokowi @gibran_tweet @NatRothschild1 @PartaiSocmed @satriyotutuko @Bud_Cavalera Prabowo membuktikan bahwa Indonesia bisa menjadi pemain utama di kancah internasional.","1820871365186232794","","griselruiz88","in","","0","1","0","https://x.com/daffaalfarid4/status/1820871365186232794","3146996014","daffaalfarid4"
"1820390325451710954","Tue Aug 06 17:15:35 +0000 2024","0","@ch_chotimah2 @jokowi @PDI_Perjuangan Bisa gak sih org ini di ganti sekarang aja jangan tunggu oktober bikin gaduh terus tingkahnya","1820871354901835828","","ch_chotimah2","in","","0","0","0","https://x.com/vlo7518/status/1820871354901835828","1721571479048105984","vlo7518"
"1820773177133535251","Tue Aug 06 17:15:30 +0000 2024","0","@gorunbiraz3 @prabowo @jokowi @gibran_tweet @NatRothschild1 @virtual_asisten @BangPino__ @mpoklela7 Langkah strategis Prabowo menunjukkan visinya yang besar untuk Indonesia.","1820871331463975283","","gorunbiraz3","in","","0","0","0","https://x.com/daffaalfarid4/status/1820871331463975283","3146996014","daffaalfarid4"
"1820766216232882687","Tue Aug 06 17:15:22 +0000 2024","0","@GirlBieberJ @prabowo @jokowi @gibran_tweet @NatRothschild1 @RcyberProj0 @99propaganda @ayundhaqh Diplomasi Prabowo membawa RI ke tingkat yang lebih tinggi.","1820871299260149948","","GirlBieberJ","in","","0","1","0","https://x.com/daffaalfarid4/status/1820871299260149948","3146996014","daffaalfarid4"
"1820760172152946961","Tue Aug 06 17:15:15 +0000 2024","0","@griselruiz88 @prabowo @jokowi @gibran_tweet @NatRothschild1 @DS_yantie @ulwanfakhri @narkosun Prabowo semakin mengukuhkan posisi Indonesia di kancah internasional.","1820871268188745880","","griselruiz88","in","","0","1","0","https://x.com/daffaalfarid4/status/1820871268188745880","3146996014","daffaalfarid4"
"1820759732778566005","Tue Aug 06 17:15:13 +0000 2024","0","@beesha009 @griselruiz88 @prabowo @jokowi @gibran_tweet @NatRothschild1 @DS_yantie @JhonSitorus_18 @BANGSAygSUJUD Mari kita percaya pada kemampuan Prabowo dalam mengelola hubungan internasional.","1820871259951133071","","beesha009","in","","0","0","0","https://x.com/ninipeot99/status/1820871259951133071","3145671433","ninipeot99"
"1820772459760738521","Tue Aug 06 17:15:07 +0000 2024","0","@gorunbiraz3 @prabowo @jokowi @gibran_tweet @NatRothschild1 @BANGSAygSUJUD @JhonSitorus_18 @mimih6mei Hubungan erat dengan Prancis dan Rusia adalah langkah cerdas Prabowo.","1820871234814669211","","gorunbiraz3","in","","0","0","0","https://x.com/daffaalfarid4/status/1820871234814669211","3146996014","daffaalfarid4"
"1820764727875883096","Tue Aug 06 17:14:59 +0000 2024","0","@GirlBieberJ @prabowo @jokowi @gibran_tweet @NatRothschild1 @AbasBalapradana @ShenaSheira @BANGSAygSUJUD Prabowo menunjukkan kepiawaiannya dalam menempatkan RI di tengah kekuatan dunia.","1820871203701342641","","GirlBieberJ","in","","0","0","0","https://x.com/daffaalfarid4/status/1820871203701342641","3146996014","daffaalfarid4"
"1820759732778566005","Tue Aug 06 17:14:52 +0000 2024","0","@griselruiz88 @prabowo @jokowi @gibran_tweet @NatRothschild1 @DS_yantie @JhonSitorus_18 @BANGSAygSUJUD Persahabatan dengan Rothschild adalah bukti keahlian diplomasi Prabowo.","1820871175272329285","","griselruiz88","in","","0","0","0","https://x.com/daffaalfarid4/status/1820871175272329285","3146996014","daffaalfarid4"
"1820605694565048394","Tue Aug 06 17:14:36 +0000 2024","0","@GunRomli Lho....ndak mungkin.....pak @jokowi kan presiden yag merakyat. Sampe masuk gorong² turun ke sawah berlumpur²... Pasti kalau cuma urusan mobil pak @jokowi rela naik ayla calya avanza dan sejenisnya. Betul ndak pak @jokowi ?","1820871105394950354","","GunRomli","in","Kalimantan Barat, Indonesia","0","0","0","https://x.com/wigbert_flores/status/1820871105394950354","990572294211715077","wigbert_flores"
"1820723119965057242","Tue Aug 06 17:14:16 +0000 2024","0","@GirlBieberJ @KissMyASsdud3 @prabowo @jokowi @gibran_tweet @NatRothschild1 @ImamWM @BangPino__ @abby6mei Langkah diplomasi Prabowo sangat mengagumkan! Indonesia semakin disegani.","1820871023333724304","","GirlBieberJ","in","","0","0","0","https://x.com/abdulhafizdarma/status/1820871023333724304","3147527486","abdulhafizdarma"
